'_id,polarity,perspective_score,owner,repo,num_reference,text,num_url,stanford_polite,subjectivity,num_emoji,num_mention,nltk_score,toxicity',
'2018-1-OSS-E4/18-1-SKKU-OSS/3/394665010,0,0,18-1-SKKU-OSS,2018-1-OSS-E4,0,Command 부분 번역하였습니다 ,0,0.439007418522547,0,0,0,0,n',
'312-Development/nielse63/166/422486124,0.001623376623376622,0.08117193,nielse63,312-Development,0,"The devDependency sharp was updated from  to . This version is not covered by your current version range. If you don’t accept this pull request, your project will work just like it did before. However, you might be missing out on a bunch of new features, fixes and/or performance improvements from the dependency update.  Find out more about this release. &lt details&gt    &lt summary&gt FAQ and help&lt /summary&gt     There is a collection of [frequently asked questions]( If those don’t help, you can always [ask the humans behind Greenkeeper]( Greenkeeper bot palm_tree ",2,0.5914189818951595,0.45064935064935063,0,0,0.7845,n',
'A3-Antistasi/A3Antistasi/57/323119824,0.045666666666666675,0.06204475,A3Antistasi,A3-Antistasi,0,"Version 1.0.0+ Mods CBA, TFAR, ACE(no-medical) Environment MP dedi .rpt attatched? NO have you edited the missionfile? NO Is it possible to add a parameter such as ""load save"" to the parameters (lobby) of the mission? It will automatically load the previous saving of the campaign, by default (for your servers) you can set it to whatever value you want, for example, it\'s off, me and other server owners are very comfortable will be when I can turn it on (for example, through the cfg file) ",0,0.8905496970594228,0.6083333333333334,0,0,0.633,n',
'A3-Antistasi/A3Antistasi/57/389837101,0.7,0.030149797,A3Antistasi,A3-Antistasi,0,Will study the possibility. It seems a good idea ,0,0.515407917787913,0.6000000000000001,0,0,0.4404,n',
'A3-Antistasi/A3Antistasi/57/393246500,0.23249999999999998,0.065765075,A3Antistasi,A3-Antistasi,0,"belive me it’s not low priority task, it’s very very important task you are very good man if you do, it’s not so complicated ",0,0.4036337884085769,0.77,0,0,0.749,n',
'A3-Antistasi/A3Antistasi/57/393329149,0.45,0.04779639,A3Antistasi,A3-Antistasi,0,but there are more important tasks and my time is not unlimited ,0,0.399852619319327,0.75,0,0,0.3898,n',
'A3-Antistasi/A3Antistasi/57/393766966,0.2,0.043971922,A3Antistasi,A3-Antistasi,0,"yeah, I did not expect anything else, thanks ",0,0.47919589065878826,0.2,0,0,0.6249,n',
'A3-Antistasi/A3Antistasi/57/393819419,-0.6,0.87185377,A3Antistasi,A3-Antistasi,0,"If you want to make it quicker you can allways provide the code here and I Will implement it in seconds. And if not, after telling you that I Will do, you come here with hurry and get dissapointed because I tell you the priorities of the mission development????? May I say that I am not your fucking slave or is it incorrect? ",0,0.480414793537601,0.8,0,0,0.3094,y',
'A3-Antistasi/A3Antistasi/57/393877509,0.275,0.07621317,A3Antistasi,A3-Antistasi,0,"@friend actually yes it is, i understand the frustation but lets keep it respectfull and enjoyable for everyone, especially that I think you guys just misunderstood due to language translation. In the meantime @friend you are more than welcome to fork this repo, fix this issue and send us a pull request  ) I invite everyone to take 5minute to read this  ",1,0.640938615784803,0.6392857142857142,0,2,0.8825,n',
'A3-Antistasi/A3Antistasi/57/393885143,0.08333333333333333,0.06503355,A3Antistasi,A3-Antistasi,0,What is not subject to translations is your -1 reaction and your closing of the Issue ,0,0.49042496898363536,0.3333333333333333,0,0,0,n',
'A3-Antistasi/A3Antistasi/57/394032149,-0.026767676767676774,0.022551456,A3Antistasi,A3-Antistasi,0,"It\'s actually a functionality which we have already implemented in the community version of Antistasi. It worked this way There was a parameter ""Allow to start a new campaign"" which was OFF by default. If you wanted to start a new campaign, you\'d set it to ON manually and then the menu would ask you if you wanted to make a new start. The reason behind this is to ease the administration of automatic server restarts when there is no administration instantly available. It also helped us a lot at the official server because users would just join the game and the progress would get loaded. I am not sure if the autoload is currently present in the mission. ",0,0.7588695103536617,0.4280583613916947,0,0,0.6414,n',
'A3-Antistasi/A3Antistasi/57/394152150,0.2523809523809524,0.07656974,A3Antistasi,A3-Antistasi,0,"Honestly, it\'s unclear who this dude thinks himself to talk to me like that. I could certainly put this rude person in place, but I\'m not going to do it. You can do what you think is necessary, but I\'m not going to help you any more. And more - you can use Google translator when reading the text, without risking to lose the sense of what is written. ",0,0.5231841655321945,0.6785714285714285,0,0,0.5256,n',
'A3-Antistasi/A3Antistasi/57/394156172,0.125,0.4254566,A3Antistasi,A3-Antistasi,0,"This dude is the owner of this mission and got all rights on this code, if it says it\'s interresting but got more important issues that\'s how it is. You\'ve been welcomed multiple times to  as you said. Your ambiguous comments (that you deleted...) and you closing the issue show your lack of maturity. Even worse, you are threatening people on a collaborative platform ? Closing issue drama has not is place here. ",0,0.37726502718881977,0.525,0,0,-0.7882,n',
'A3-Antistasi/A3Antistasi/57/394170424,0.27380952380952384,0,A3Antistasi,A3-Antistasi,0,"This dude is the owner of this mission and got all rights on this code, if it says it\'s interresting but got more important issues that\'s how it is. - это ты вообще к чему написал?  You\'ve been welcomed multiple times to quickly and very easily fix this very important issue as you said.  и что, это даёт возможность мне хамить??? Your ambiguous comments (that you deleted...) and you closing the issue show your lack of maturity. Even worse, you are threatening people on a collaborative platform ? - это вообще враньё,, откуда ты это взял? Closing issue drama has not is place here. - это новое слово в драме? не слыхал о таком - я автор темы, хочу - закрываю  ",0,0.2268174412000396,0.6571428571428571,0,0,-0.4101,n',
'A3-Antistasi/A3Antistasi/57/394175475,0.31,0.13131012,A3Antistasi,A3-Antistasi,0,"@friend I repeat you are more than welcome to help posting issues and PR on this repository, in english  ) Issue will be treated later on. ",0,0.6096400116705759,0.48,0,1,0.7832,n',
'A3-Antistasi/A3Antistasi/57/394294547,0.26666666666666666,0.062240217,A3Antistasi,A3-Antistasi,0,"Thanks @friend. Back to the roots, omitting his lack of social skills and education, Alex idea was good and Will be implemented (once I finish the whole AI suite which is by far more important). ",0,0.5,0.4708333333333333,0,1,0.5423,n',
